# MSD data
# time, 300 K, 350 K, 400 K
0,0,0,0
1,0.770551476,1.011062537,1.253320732
2,0.950640225,1.409343344,1.881448793
3,0.996833903,1.644521914,2.305549766
4,1.038493751,1.839333323,2.689597032
5,1.093949836,2.026403865,3.08157606
6,1.148789442,2.212991416,3.445680709
7,1.193380312,2.389757241,3.806596616
8,1.226427533,2.547158538,4.159456774
9,1.262724365,2.711038324,4.498866219
10,1.296383884,2.8670907,4.819856789
11,1.329363156,3.017717998,5.138232124
12,1.362954861,3.168429933,5.468656031
13,1.395271285,3.312718279,5.789740787
14,1.419767023,3.461676337,6.110989046
15,1.450825074,3.604899252,6.415990647
16,1.479454692,3.748757849,6.715934742
17,1.502656876,3.894267661,7.017803
18,1.52729986,4.031054855,7.329440383
19,1.554361622,4.169510027,7.646000337
20,1.580876892,4.306766854,7.948384876
21,1.611544343,4.447200867,8.240490204
22,1.641351655,4.58024883,8.532394972
23,1.662179485,4.700718836,8.832007155
24,1.685180797,4.823840812,9.129077222
25,1.7024242,4.947977438,9.421597011
26,1.7219841,5.072673392,9.727479063
27,1.747958194,5.196089375,10.01985634
28,1.764331555,5.325202898,10.31665015
29,1.786552263,5.451987067,10.60517607
30,1.814431309,5.57679656,10.88279879
31,1.841425679,5.703156807,11.16678833
32,1.861814616,5.824896857,11.45479893
33,1.875368772,5.949069187,11.74757181
34,1.899706281,6.06209765,12.04143015
35,1.918327994,6.176322096,12.34016515
36,1.922817747,6.290785679,12.64216071
37,1.937081926,6.410304605,12.94626712
38,1.96636621,6.531291555,13.23486327
39,1.984854774,6.643199367,13.52252768
40,2.000692439,6.772157197,13.81658448
41,2.013329923,6.889368602,14.12078023
42,2.027561168,6.996469612,14.42534816
43,2.054801304,7.107359225,14.72693422
44,2.063482715,7.222430791,15.01379611
45,2.080991556,7.334298024,15.29505833
46,2.096589505,7.443350633,15.57283357
47,2.11311897,7.556311543,15.85649583
48,2.140156458,7.674841717,16.13978112
49,2.150466095,7.790470918,16.42402139
50,2.159086646,7.905882536,16.70993952
51,2.178295251,8.012725449,17.00771236
52,2.198148528,8.122350727,17.30270465
53,2.211651425,8.228555202,17.59832532
54,2.227381352,8.344171591,17.88689018
55,2.241990492,8.459551816,18.17542156
56,2.259449967,8.572806917,18.46789888
57,2.276217936,8.68172164,18.7645426
58,2.294401266,8.779465269,19.05714142
59,2.309041889,8.881100605,19.34289971
60,2.323722364,8.987816642,19.62889079
61,2.344420544,9.090285631,19.91681474
62,2.364894824,9.189691777,20.19096876
63,2.377607584,9.279761489,20.47063288
64,2.394852912,9.375955112,20.74396412
65,2.410514913,9.47287058,21.02194646
66,2.431943416,9.570227481,21.29197038
67,2.452103809,9.667662216,21.55744028
68,2.471511743,9.761392234,21.82983078
69,2.481628777,9.855806076,22.10364012
70,2.491063919,9.959952201,22.37782372
71,2.507411994,10.05512252,22.65180928
72,2.527267494,10.14085895,22.93553633
73,2.538858061,10.2333703,23.21616163
74,2.547167472,10.32399192,23.49841888
75,2.569961415,10.41558935,23.76528484
76,2.589347234,10.50536616,24.03444012
77,2.602264069,10.58855521,24.30965894
78,2.609449039,10.67148924,24.57838849
79,2.621845693,10.76291283,24.85864118
80,2.63956209,10.84854307,25.12788739
81,2.657176138,10.9353981,25.39767075
82,2.668979616,11.02860463,25.65619446
83,2.685019868,11.10741084,25.91419843
84,2.704084535,11.1970654,26.18572182
85,2.722790296,11.28977537,26.44445236
86,2.737304931,11.38017439,26.7187008
87,2.752427798,11.46714084,26.9870845
88,2.762415384,11.55760217,27.25184807
89,2.77484842,11.64953144,27.504487
90,2.786089403,11.73708084,27.76883426
91,2.804815426,11.82313208,28.04232737
92,2.819276947,11.90690258,28.30726172
93,2.831380625,11.99812647,28.57541733
94,2.844026386,12.09013918,28.83719195
95,2.861452068,12.1832167,29.10101644
96,2.877657774,12.27994473,29.38056362
97,2.891404021,12.36279307,29.67019843
98,2.902869061,12.44973145,29.95055191
99,2.919893684,12.53313825,30.22330215
100,2.935294452,12.6250648,30.49082617
101,2.949959153,12.71629524,30.77547595
102,2.972598095,12.79709641,31.06371594
103,2.983747849,12.89164586,31.3474841
104,2.992906053,12.98049545,31.61958824
105,3.002687852,13.06864207,31.89382457
106,3.01752785,13.15899006,32.18065366
107,3.03250772,13.24074747,32.45433275
108,3.043514423,13.33038225,32.73868639
109,3.050608106,13.4278735,33.01244215
110,3.061199155,13.51954884,33.28342757
111,3.083055131,13.61660334,33.57082664
112,3.099133239,13.7086024,33.8577438
113,3.117336993,13.80719366,34.13841501
114,3.129506999,13.90238291,34.42035086
115,3.14056319,13.99578299,34.70471156
116,3.160409609,14.08733226,34.99271696
117,3.169424191,14.17157036,35.27596189
118,3.175126027,14.26528786,35.57160908
119,3.188304031,14.35296741,35.87346433
120,3.206827931,14.45228732,36.16820878
121,3.225050622,14.54786393,36.47019972
122,3.236691413,14.63813965,36.7662877
123,3.251812498,14.73435498,37.04939203
124,3.262395563,14.830993,37.3157481
125,3.275247393,14.92581976,37.60662881
126,3.290635052,15.02235223,37.89841704
127,3.30284398,15.11601794,38.18577161
128,3.313389167,15.20422317,38.46535876
129,3.33238601,15.29792185,38.74492013
130,3.345754448,15.39141153,39.02297481
131,3.356612772,15.47665679,39.29311801
132,3.368813119,15.56288666,39.56776007
133,3.3826888,15.65154895,39.849628
134,3.389929405,15.74089425,40.13706326
135,3.405527332,15.82753439,40.41701268
136,3.413411639,15.90955923,40.69607766
137,3.424378034,16.00211691,40.97165119
138,3.434988793,16.09727776,41.24173013
139,3.452659294,16.18808661,41.51419027
140,3.461028769,16.27576785,41.77514516
141,3.470865288,16.35810824,42.0540967
142,3.482967263,16.44153791,42.32771617
143,3.493794326,16.52352269,42.58838508
144,3.509912401,16.61053885,42.8509953
145,3.525699529,16.69464886,43.11967604
146,3.539673157,16.7778211,43.38775716
147,3.545790487,16.8626723,43.66019841
148,3.564572763,16.95734492,43.92683954
149,3.587919323,17.04025563,44.19703168
150,3.598515734,17.12265992,44.47740262
151,3.612549822,17.20772616,44.74940726
152,3.620208471,17.29243987,45.01975454
153,3.635568929,17.37597675,45.2966254
154,3.657727052,17.45632224,45.56874252
155,3.67172341,17.54508961,45.83806569
156,3.682739121,17.63987399,46.10481052
157,3.697341126,17.7331869,46.37635312
158,3.712208686,17.81866687,46.6492886
159,3.721944385,17.91023261,46.91154026
160,3.72884345,17.99590002,47.17705979
161,3.74248448,18.07742882,47.45932626
162,3.760302014,18.15771649,47.74009807
163,3.770809746,18.23776681,48.00731549
164,3.773757374,18.32460803,48.2682587
165,3.794924583,18.40735393,48.54134662
166,3.811249979,18.48856773,48.82338829
167,3.824572673,18.57818837,49.09522478
168,3.842249174,18.66161103,49.36401699
169,3.853818858,18.74102663,49.63958656
170,3.868956631,18.82585088,49.91448346
171,3.88422698,18.90269413,50.18390084
172,3.897807421,18.98512684,50.45097754
173,3.917991419,19.07152626,50.72536281
